                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8017,                 6.7726,                 4.3457,                      0,                      0,                      0,                      0,                 3.8454,                 6.7996,                 4.1692,             5.1235e-05,             5.1235e-05,             5.1235e-05
                      2,                 3.7335,                 6.6584,                 4.2312,                      0,                      0,                      0,                      0,                 3.8338,                 6.7766,                 4.1702,             0.00010119,             0.00010119,             0.00010119
                      3,                 3.6795,                 6.5581,                  4.134,                0.00099,                0.00324,                0.00165,                0.00027,                  3.571,                   6.73,                 4.0665,             0.00014909,             0.00014909,             0.00014909
                      4,                 3.5564,                 6.3421,                 4.0049,                 0.5224,                0.00108,                0.00086,                0.00026,                 3.4766,                 6.8573,                 3.9772,             0.00014673,             0.00014673,             0.00014673
                      5,                 3.4465,                 6.2538,                 3.8432,                0.38498,                0.00324,                0.00204,                0.00046,                 3.3478,                 6.5906,                 3.8122,             0.00014364,             0.00014364,             0.00014364
                      6,                 3.2789,                 6.0046,                 3.6618,                0.43847,                0.00216,                0.00266,                0.00096,                 3.3054,                 6.3848,                 3.7006,             0.00014056,             0.00014056,             0.00014056
                      7,                 3.2067,                 5.8596,                 3.4949,                0.46781,                0.00421,                 0.0036,                0.00128,                 3.1312,                 6.2751,                 3.4817,             0.00013747,             0.00013747,             0.00013747
                      8,                 3.0708,                 5.6211,                 3.3387,                0.03123,                0.09723,                 0.0246,                0.00653,                 3.0821,                 6.3236,                 3.3851,             0.00013438,             0.00013438,             0.00013438
                      9,                 3.0462,                  5.478,                 3.2439,                 0.4128,                0.00575,                0.01155,                0.00428,                 2.9674,                 5.7921,                 3.2341,             0.00013129,             0.00013129,             0.00013129
                     10,                 2.9314,                 5.3184,                 3.1305,                0.41675,                0.00977,                0.01341,                0.00555,                 2.8817,                 5.6405,                 3.1298,              0.0001282,              0.0001282,              0.0001282
                     11,                 2.8968,                 5.2644,                 3.0925,                0.33455,                0.01265,                0.01434,                0.00775,                 2.8244,                 5.5964,                 3.0177,             0.00012511,             0.00012511,             0.00012511
                     12,                 2.7904,                 5.1364,                 2.9667,                0.00334,                0.17425,                 0.0106,                 0.0046,                  2.863,                 5.8624,                 3.0747,             0.00012202,             0.00012202,             0.00012202
                     13,                 2.7523,                 5.0079,                  2.917,                0.25183,                 0.0255,                 0.0145,                0.00628,                 2.7336,                 5.3611,                  2.931,             0.00011893,             0.00011893,             0.00011893
                     14,                 2.7279,                 5.0284,                 2.8756,                0.39171,                 0.0121,                 0.0146,                0.00772,                 2.7319,                 5.4108,                 2.8772,             0.00011585,             0.00011585,             0.00011585
                     15,                 2.6356,                 4.9152,                 2.8251,                0.03018,                0.20378,                0.03454,                0.01745,                 2.6875,                 5.2185,                 2.8708,             0.00011276,             0.00011276,             0.00011276
                     16,                 2.6353,                 4.8312,                 2.7661,                0.35299,                0.00903,                0.01851,                0.00893,                 2.6251,                 4.9946,                 2.7901,             0.00010967,             0.00010967,             0.00010967
                     17,                 2.5988,                 4.8375,                 2.7314,                0.37122,                0.01026,                 0.0211,                0.01149,                 2.5508,                 4.9229,                 2.7378,             0.00010658,             0.00010658,             0.00010658
                     18,                  2.559,                 4.7387,                 2.6461,                0.20198,                0.02736,                0.01734,                0.00863,                 2.5054,                 4.8778,                 2.6681,             0.00010349,             0.00010349,             0.00010349
                     19,                 2.5167,                 4.7251,                 2.6295,                0.00531,                0.20436,                 0.0203,                0.01046,                 2.4925,                 4.8557,                 2.6525,              0.0001004,              0.0001004,              0.0001004
                     20,                 2.4667,                 4.6265,                  2.585,                0.34934,                0.01271,                0.01668,                 0.0085,                 2.4281,                 4.7615,                 2.6069,             9.7313e-05,             9.7313e-05,             9.7313e-05
                     21,                 2.4585,                 4.5818,                 2.5757,                 0.4536,                0.01141,                0.01865,                0.00981,                 2.4204,                 4.6985,                 2.5505,             9.4224e-05,             9.4224e-05,             9.4224e-05
                     22,                 2.4364,                 4.5208,                  2.511,                0.36703,                0.01398,                0.02004,                0.01062,                 2.4212,                 4.7035,                 2.5375,             9.1135e-05,             9.1135e-05,             9.1135e-05
                     23,                 2.4366,                 4.5327,                 2.5254,                0.03136,                0.25163,                0.03831,                0.02012,                  2.394,                 4.6377,                 2.5326,             8.8046e-05,             8.8046e-05,             8.8046e-05
                     24,                 2.3704,                 4.4589,                 2.4606,                0.25893,                0.03133,                0.02107,                0.01216,                 2.3646,                 4.6051,                  2.528,             8.4958e-05,             8.4958e-05,             8.4958e-05
                     25,                 2.3947,                 4.4684,                 2.4871,                0.03123,                0.22154,                0.04563,                0.02751,                 2.4011,                  4.575,                 2.5046,             8.1869e-05,             8.1869e-05,             8.1869e-05
                     26,                 2.3441,                 4.4242,                 2.4484,                0.28337,                0.03867,                0.02978,                0.01794,                 2.3631,                 4.6414,                 2.4676,              7.878e-05,              7.878e-05,              7.878e-05
                     27,                 2.3091,                 4.3793,                 2.3778,                0.37214,                0.02974,                0.03022,                0.01811,                 2.3397,                 4.5008,                 2.3999,             7.5691e-05,             7.5691e-05,             7.5691e-05
                     28,                 2.3101,                 4.3436,                  2.361,                0.34752,                0.02123,                0.03014,                0.01746,                 2.3047,                 4.4847,                 2.4399,             7.2602e-05,             7.2602e-05,             7.2602e-05
                     29,                 2.3315,                 4.3603,                 2.3679,                0.28517,                0.04374,                 0.0342,                 0.0184,                 2.2954,                 4.4679,                  2.393,             6.9514e-05,             6.9514e-05,             6.9514e-05
                     30,                 2.2605,                  4.271,                 2.3359,                0.42221,                0.01615,                0.02571,                0.01441,                 2.2735,                 4.4992,                 2.3539,             6.6425e-05,             6.6425e-05,             6.6425e-05
                     31,                 2.2924,                 4.3013,                 2.3422,                0.43415,                0.01992,                0.02706,                0.01678,                 2.2709,                 4.3983,                 2.3391,             6.3336e-05,             6.3336e-05,             6.3336e-05
                     32,                 2.2694,                 4.3101,                 2.3044,                0.39862,                0.02143,                0.02777,                0.01659,                 2.2357,                 4.3802,                 2.3121,             6.0247e-05,             6.0247e-05,             6.0247e-05
                     33,                 2.2552,                 4.2707,                 2.2891,                0.48428,                0.02021,                 0.0259,                0.01485,                 2.2471,                  4.356,                 2.2931,             5.7158e-05,             5.7158e-05,             5.7158e-05
                     34,                  2.262,                 4.2588,                 2.2835,                0.39986,                0.02323,                0.02193,                0.01288,                 2.2341,                 4.5039,                 2.3341,              5.407e-05,              5.407e-05,              5.407e-05
                     35,                 2.1902,                 4.2053,                 2.2355,                0.39775,                0.02659,                0.04944,                0.03603,                 2.2009,                 4.3401,                 2.2688,             5.0981e-05,             5.0981e-05,             5.0981e-05
                     36,                 2.1792,                 4.1914,                 2.2483,                0.36929,                0.01777,                 0.0259,                0.01569,                 2.2034,                 4.2961,                 2.2527,             4.7892e-05,             4.7892e-05,             4.7892e-05
                     37,                 2.2181,                 4.1877,                 2.2506,                0.36918,                0.02661,                0.02789,                0.01538,                 2.2229,                 4.3318,                 2.2879,             4.4803e-05,             4.4803e-05,             4.4803e-05
                     38,                 2.1759,                  4.162,                 2.2104,                0.31652,                0.01951,                0.02465,                0.01436,                 2.2065,                 4.3098,                 2.2754,             4.1714e-05,             4.1714e-05,             4.1714e-05
                     39,                 2.1837,                 4.1033,                 2.2244,                0.36718,                0.02064,                0.02522,                0.01492,                  2.184,                  4.296,                 2.2399,             3.8626e-05,             3.8626e-05,             3.8626e-05
                     40,                 2.1672,                 4.1164,                 2.2164,                0.31152,                0.01953,                0.04993,                0.03428,                 2.1945,                 4.2914,                 2.2418,             3.5537e-05,             3.5537e-05,             3.5537e-05
                     41,                 2.0764,                 4.3936,                 2.1637,                0.37292,                0.02063,                0.03398,                0.02144,                  2.137,                 4.2921,                 2.1676,             3.2448e-05,             3.2448e-05,             3.2448e-05
                     42,                 2.0399,                 4.3368,                 2.1135,                0.39508,                0.01517,                0.02383,                0.01452,                  2.136,                 4.2698,                 2.1837,             2.9359e-05,             2.9359e-05,             2.9359e-05
                     43,                 2.0552,                 4.3477,                 2.1291,                0.39914,                 0.0152,                0.02119,                0.01261,                 2.1492,                 4.2797,                   2.19,              2.627e-05,              2.627e-05,              2.627e-05
                     44,                 2.0267,                 4.3505,                 2.1151,                0.40071,                0.01609,                 0.0248,                0.01492,                 2.1629,                 4.2513,                 2.1792,             2.3182e-05,             2.3182e-05,             2.3182e-05
                     45,                   2.05,                 4.3209,                 2.1199,                0.45501,                0.01558,                 0.0218,                0.01239,                 2.1651,                 4.2435,                 2.1855,             2.0093e-05,             2.0093e-05,             2.0093e-05
                     46,                 2.0139,                 4.2898,                 2.0865,                0.40084,                0.01973,                0.02146,                0.01274,                 2.1391,                  4.233,                 2.1668,             1.7004e-05,             1.7004e-05,             1.7004e-05
                     47,                 2.0049,                 4.2715,                 2.0965,                0.45452,                 0.0164,                0.02168,                0.01274,                 2.1412,                   4.24,                 2.1747,             1.3915e-05,             1.3915e-05,             1.3915e-05
                     48,                  2.003,                  4.249,                 2.0902,                0.42485,                0.01986,                0.02422,                0.01462,                 2.1443,                 4.2118,                  2.171,             1.0826e-05,             1.0826e-05,             1.0826e-05
                     49,                 2.0255,                 4.2938,                 2.1055,                0.39914,                0.01878,                0.02351,                0.01399,                 2.1465,                  4.211,                 2.1703,             7.7376e-06,             7.7376e-06,             7.7376e-06
                     50,                  2.024,                 4.2885,                 2.0866,                 0.4278,                 0.0203,                0.02384,                0.01488,                 2.1362,                   4.21,                 2.1691,             4.6488e-06,             4.6488e-06,             4.6488e-06
